CC;Caisse;Annee;Sexe;ageconj;
0032;CNRACL;2010;Femmes;61;
0032;CNRACL;2010;Hommes;62;
0032;CNRACL;2011;Ensemble;61;
0032;CNRACL;2011;Femmes;61;
0032;CNRACL;2011;Hommes;62;
0032;CNRACL;2012;Ensemble;61;
0032;CNRACL;2012;Femmes;61;
0032;CNRACL;2012;Hommes;62;
0032;CNRACL;2013;Ensemble;60;
0032;CNRACL;2013;Femmes;59;
0032;CNRACL;2013;Hommes;61;
0032;CNRACL;2014;Ensemble;60;
0032;CNRACL;2014;Femmes;60;
0032;CNRACL;2014;Hommes;61;
0032;CNRACL;2015;Ensemble;60;
0032;CNRACL;2015;Femmes;60;
0032;CNRACL;2015;Hommes;61;
0032;CNRACL;2016;Ensemble;60;
0032;CNRACL;2016;Femmes;60;
0032;CNRACL;2016;Hommes;61;
0032;CNRACL;2017;Ensemble;61;
0032;CNRACL;2017;Femmes;60;
0032;CNRACL;2017;Hommes;61;
0032;CNRACL;2018;Ensemble;61;
0032;CNRACL;2018;Femmes;60;
0032;CNRACL;2018;Hommes;61;
0032;CNRACL;2019;Ensemble;61;
0032;CNRACL;2019;Femmes;61;
0032;CNRACL;2019;Hommes;61;
0032;CNRACL;2020;Ensemble;61;
0032;CNRACL;2020;Femmes;61;
0032;CNRACL;2020;Hommes;62;
0032;CNRACL;2021;Ensemble;61;
0032;CNRACL;2021;Femmes;61;
0032;CNRACL;2021;Hommes;62;
0032;CNRACL;2022;Femmes;61;
0032;CNRACL;2022;Hommes;62;
0032;CNRACL;2022;Ensemble;61;
0500;CRPCEN;2004;Ensemble;62;
0500;CRPCEN;2004;Femmes;63;
0500;CRPCEN;2004;Hommes;64;
0500;CRPCEN;2005;Ensemble;62;
0500;CRPCEN;2005;Femmes;63;
0500;CRPCEN;2005;Hommes;64;
0500;CRPCEN;2006;Ensemble;62;
0500;CRPCEN;2006;Femmes;63;
0500;CRPCEN;2006;Hommes;64;
0500;CRPCEN;2007;Ensemble;62;
0500;CRPCEN;2007;Femmes;62;
0500;CRPCEN;2007;Hommes;64;
0500;CRPCEN;2008;Ensemble;62;
0500;CRPCEN;2008;Femmes;62;
0500;CRPCEN;2008;Hommes;63;
0500;CRPCEN;2009;Ensemble;62;
0500;CRPCEN;2009;Femmes;62;
0500;CRPCEN;2009;Hommes;63;
0500;CRPCEN;2010;Ensemble;62;
0500;CRPCEN;2010;Femmes;62;
0500;CRPCEN;2010;Hommes;63;
0500;CRPCEN;2011;Ensemble;62;
0500;CRPCEN;2011;Femmes;62;
0500;CRPCEN;2011;Hommes;63;
0500;CRPCEN;2012;Ensemble;62;
0500;CRPCEN;2012;Femmes;62;
0500;CRPCEN;2012;Hommes;63;
0500;CRPCEN;2013;Ensemble;62;
0500;CRPCEN;2013;Femmes;62;
0500;CRPCEN;2013;Hommes;63;
0500;CRPCEN;2014;Ensemble;62;
0500;CRPCEN;2014;Femmes;63;
0500;CRPCEN;2014;Hommes;63;
0500;CRPCEN;2015;Ensemble;63;
0500;CRPCEN;2015;Femmes;63;
0500;CRPCEN;2015;Hommes;63;
0500;CRPCEN;2016;Ensemble;63;
0500;CRPCEN;2016;Femmes;63;
0500;CRPCEN;2016;Hommes;64;
0500;CRPCEN;2017;Ensemble;63;
0500;CRPCEN;2017;Femmes;63;
0500;CRPCEN;2017;Hommes;64;
0500;CRPCEN;2018;Ensemble;63;
0500;CRPCEN;2018;Femmes;63;
0500;CRPCEN;2018;Hommes;64;
0500;CRPCEN;2019;Ensemble;62;
0500;CRPCEN;2019;Femmes;62;
0500;CRPCEN;2019;Hommes;64;
0500;CRPCEN;2020;Ensemble;62;
0500;CRPCEN;2020;Femmes;62;
0500;CRPCEN;2020;Hommes;64;
0500;CRPCEN;2021;Ensemble;63;
0500;CRPCEN;2021;Femmes;63;
0500;CRPCEN;2021;Hommes;64;
0500;CRPCEN;2022;Femmes;63;
0500;CRPCEN;2022;Hommes;65;
0500;CRPCEN;2022;Ensemble;64;
0070;ENIM;2020;Ensemble;57;
0070;ENIM;2020;Femmes;58;
0070;ENIM;2020;Hommes;57;
0070;ENIM;2021;Ensemble;57;
0070;ENIM;2021;Femmes;58;
0070;ENIM;2021;Hommes;57;
0070;ENIM;2022;Femmes;58;
0070;ENIM;2022;Hommes;57;
0070;ENIM;2022;Ensemble;57;
3000;ERAFP;2022;Femmes;63;
3000;ERAFP;2022;Hommes;63;
3000;ERAFP;2022;Ensemble;63;
3000;ERAPF;2010;Ensemble;66;
3000;ERAPF;2010;Femmes;66;
3000;ERAPF;2010;Hommes;66;
3000;ERAPF;2011;Ensemble;65;
3000;ERAPF;2011;Femmes;64;
3000;ERAPF;2011;Hommes;65;
3000;ERAPF;2012;Ensemble;64;
3000;ERAPF;2012;Femmes;64;
3000;ERAPF;2012;Hommes;64;
3000;ERAPF;2013;Ensemble;64;
3000;ERAPF;2013;Femmes;64;
3000;ERAPF;2013;Hommes;64;
3000;ERAPF;2014;Ensemble;64;
3000;ERAPF;2014;Femmes;63;
3000;ERAPF;2014;Hommes;64;
3000;ERAPF;2015;Ensemble;63;
3000;ERAPF;2015;Femmes;63;
3000;ERAPF;2015;Hommes;63;
3000;ERAPF;2016;Ensemble;63;
3000;ERAPF;2016;Femmes;63;
3000;ERAPF;2016;Hommes;63;
3000;ERAPF;2017;Ensemble;63;
3000;ERAPF;2017;Femmes;63;
3000;ERAPF;2017;Hommes;63;
3000;ERAPF;2018;Ensemble;63;
3000;ERAPF;2018;Femmes;63;
3000;ERAPF;2018;Hommes;63;
3000;ERAPF;2019;Ensemble;63;
3000;ERAPF;2019;Femmes;63;
3000;ERAPF;2019;Hommes;63;
3000;ERAPF;2020;Ensemble;63;
3000;ERAPF;2020;Femmes;63;
3000;ERAPF;2020;Hommes;63;
3000;ERAPF;2021;Ensemble;63;
3000;ERAPF;2021;Femmes;63;
3000;ERAPF;2021;Hommes;63;
0033;FSPOEIE;2011;Ensemble;59;
0033;FSPOEIE;2011;Femmes;59;
0033;FSPOEIE;2011;Hommes;59;
0033;FSPOEIE;2012;Ensemble;59;
0033;FSPOEIE;2012;Femmes;59;
0033;FSPOEIE;2012;Hommes;59;
0033;FSPOEIE;2013;Ensemble;59;
0033;FSPOEIE;2013;Femmes;59;
0033;FSPOEIE;2013;Hommes;59;
0033;FSPOEIE;2014;Ensemble;59;
0033;FSPOEIE;2014;Femmes;59;
0033;FSPOEIE;2014;Hommes;59;
0033;FSPOEIE;2015;Ensemble;59;
0033;FSPOEIE;2015;Femmes;59;
0033;FSPOEIE;2015;Hommes;59;
0033;FSPOEIE;2016;Ensemble;60;
0033;FSPOEIE;2016;Femmes;60;
0033;FSPOEIE;2016;Hommes;60;
0033;FSPOEIE;2017;Ensemble;60;
0033;FSPOEIE;2017;Femmes;60;
0033;FSPOEIE;2017;Hommes;60;
0033;FSPOEIE;2018;Ensemble;60;
0033;FSPOEIE;2018;Femmes;60;
0033;FSPOEIE;2018;Hommes;60;
0033;FSPOEIE;2019;Ensemble;60;
0033;FSPOEIE;2019;Femmes;60;
0033;FSPOEIE;2019;Hommes;60;
0033;FSPOEIE;2020;Ensemble;60;
0033;FSPOEIE;2020;Femmes;60;
0033;FSPOEIE;2020;Hommes;60;
0033;FSPOEIE;2021;Ensemble;60;
0033;FSPOEIE;2021;Femmes;61;
0033;FSPOEIE;2021;Hommes;60;
0033;FSPOEIE;2022;Femmes;61;
0033;FSPOEIE;2022;Hommes;61;
0033;FSPOEIE;2022;Ensemble;61;
0012;Fonction publique d'état civile;2016;Ensemble;62;
0012;Fonction publique d'état civile;2016;Femmes;62;
0012;Fonction publique d'état civile;2016;Hommes;61;
0012;Fonction publique d'état civile;2017;Ensemble;61;
0012;Fonction publique d'état civile;2017;Femmes;62;
0012;Fonction publique d'état civile;2017;Hommes;61;
0012;Fonction publique d'état civile;2018;Ensemble;62;
0012;Fonction publique d'état civile;2018;Femmes;62;
0012;Fonction publique d'état civile;2018;Hommes;62;
0012;Fonction publique d'état civile;2019;Ensemble;62;
0012;Fonction publique d'état civile;2019;Femmes;62;
0012;Fonction publique d'état civile;2019;Hommes;62;
0012;Fonction publique d'état civile;2020;Ensemble;62;
0012;Fonction publique d'état civile;2020;Femmes;62;
0012;Fonction publique d'état civile;2020;Hommes;62;
0012;Fonction publique d'état civile;2021;Ensemble;62;
0012;Fonction publique d'état civile;2021;Femmes;62;
